x,y
-2.143722432156236035e+00,4.128762400043977543e+00
-2.459322644564017502e+00,4.161949963154147447e+00
-6.374447552182869181e+00,-8.003754373689234924e+00
-1.031070249900330005e+01,-3.096193153999355463e+00
-6.656837690034379307e+00,-3.227971963161272217e+00
-7.160393504384961361e+00,-8.236566036066411911e+00
-1.525919066681293401e+00,5.876668464378351331e+00
-1.028960741463431194e+00,3.927880367421128227e+00
-1.763982217371226069e+00,3.514358013271066672e-01
-5.183631894012680874e+00,-3.012203571641244970e+00
-1.772539111904197551e+00,1.325674135778051488e+00
-5.289517772277722685e+00,-2.998414353341536831e+00
-2.645770842107181053e+00,1.599303601762193106e-01
-9.912437613959095728e+00,-3.162709811824861106e+00
-6.288291053863903635e-01,1.186298080187806470e+00
-7.207161939008655871e+00,-4.321267451418193239e+00
-1.970816777798365171e+00,1.617773083606933060e+00
-6.078330218460735068e+00,-3.139964351762138950e+00
-1.533486553318049506e+00,1.395770850192557200e+00
-5.531392373378925420e+00,-9.480680750647810129e+00
-9.205571932437102589e+00,-2.889476775867665381e+00
-5.853172276239641647e+00,-2.794587916586102949e+00
-1.002479936013933681e+01,-5.084389195655511173e+00
-7.058176551438392288e+00,-1.719530226546495344e+00
-6.700478747706378968e+00,-8.954267077360244187e+00
-6.276119810433185009e+00,-4.066419756355847070e+00
-1.043171309441679107e+01,-3.464726123512651412e+00
-1.129829980876582773e+01,-3.088033726046230498e+00
-7.281963925120380487e+00,-9.857614539499042650e+00
-1.001494437276614669e+01,-4.495961680781616288e+00
-1.623994477605299247e+00,3.960592916244614070e+00
-1.630010283247604663e+00,4.814460518444237280e+00
-5.925526656453504515e+00,-7.916619917021911590e+00
-9.858902699564362493e+00,-3.870042495297983276e+00
-2.678747578629332882e+00,1.688836240560910307e-01
-9.212720107888136667e+00,-3.667118170807425415e+00
-7.142195102149860197e+00,-8.585381549222697473e+00
-6.755927073159731400e+00,-8.223336767922495127e+00
-1.808218105208560633e+00,4.512211273168487136e-02
-1.508132249289209970e+00,5.142278568768844371e-01
-7.191526395112443737e+00,-8.575972544079325743e+00
-6.623545266988337232e+00,-3.306474943951040135e+00
-1.805785869310864156e+00,4.817126102670699517e+00
-3.073263732390889125e+00,1.638911829647044183e+00
-1.028446401533562593e+00,4.758235906074469668e+00
-1.015334220348035288e+01,-4.093879195614202438e+00
-6.104927163689326086e+00,-2.947504333927241760e+00
-6.890722770686299015e+00,-8.360876911283648738e+00
-6.503579461347797519e+00,-8.120630995727143642e+00
-9.752330318588226632e+00,-4.871946935229407138e+00
-1.745583063811573243e+00,3.751451264861813684e+00
-2.260018920466904557e+00,1.912329040234939548e+00
-1.885251948757974860e+00,4.137651820575270811e+00
-6.360843500170376696e-01,2.964391372194803864e+00
-1.018406545785563644e+01,-3.930518364677853427e+00
-7.955673312329934355e+00,-7.933744700299642183e+00
-1.021205531249296250e+01,-3.373766297538132175e+00
-7.426848304201898010e+00,-8.851146883979229329e+00
-5.462558773450943761e+00,-2.830140557676037893e+00
-1.300509031655913361e+00,4.197824884271260437e+00
-5.707129601484093762e+00,-2.357675992843963453e+00
-5.880863004813264183e+00,-2.920269494572631963e+00
-2.053081218272670316e+00,9.003660842603111725e-01
