x,y
3.573381566786145491e+00,4.036979359886014862e+00
6.632060475758519758e+00,2.138674720870713308e+00
3.589841377147203971e+00,3.281980347904642770e+00
8.057460421553454211e+00,4.100194038575946109e+00
6.300812076387307670e-01,6.434626296919288002e+00
4.075157756162824718e+00,4.408085473449991021e+00
5.910607918594601884e+00,4.687994756019645770e+00
3.263513669650262017e+00,7.472862039604307505e+00
3.255635047322357423e+00,9.693301734557772775e+00
6.771847011164393138e+00,3.909850972581130346e+00
5.690836942636078533e+00,1.048596497629036284e+00
3.321656305012792298e+00,7.763938805025127898e+00
8.175761218639173933e+00,6.307531103512610926e+00
7.034486739293485336e+00,3.670587724600553603e+00
2.825869020063680459e+00,4.657170536315047293e-01
1.149175140947844564e-01,4.944554628917075867e+00
9.395320571661976317e+00,2.048928772202510906e+00
9.707938875284165547e+00,5.789730108930193353e+00
3.125785933603455469e+00,1.368854248288061681e+00
2.334173381068339381e+00,2.565265172390114312e+00
4.794028689271864430e+00,5.425247790376107382e+00
8.523711375783173949e+00,7.276233485254253175e+00
7.278603668495664536e-01,1.416113452652623117e-01
7.364844531660208915e+00,8.517144599345469302e+00
6.724678719140554151e+00,5.611301063173550929e+00
9.606159728477459581e+00,7.583911582905998650e+00
5.644683716565679354e+00,4.697319553310771667e+00
5.385468247205898784e+00,8.765173659133399298e+00
8.135420182093737296e+00,4.104478483471670103e+00
6.417684310961205618e+00,9.721760706807863528e+00
9.791226793994061595e+00,1.525223045627938090e+00
9.160226289161638391e+00,9.312550433852692322e+00
8.365301106799071462e+00,1.199417470163143262e+00
8.151331822523100179e-01,5.407455191778316461e+00
8.767679101398229147e-01,5.807538738523506439e+00
5.902692096654806875e+00,8.735072491592935862e+00
1.488882454086604135e-01,8.578924658699161654e+00
1.325888449477311548e+00,4.487476024554388765e+00
2.011743799510190556e-02,5.784110890551067641e+00
1.236456089818939175e+00,6.918771182066442371e+00
6.954967397055908052e+00,5.237263259466099719e+00
3.468530259315546260e+00,2.715893628822103611e+00
4.365906511685446745e-01,7.175225893356152795e+00
3.324207580852878152e-01,5.990886695471234091e+00
8.710039679040836091e+00,9.314754315817783237e+00
6.300408872672264238e+00,9.613277641917294947e-01
5.961722066528110986e+00,2.127788349533000556e+00
8.386381217311500436e-01,3.563877105382047272e+00
1.412286378449121305e+00,5.096751827851763395e+00
3.257987588736278362e+00,6.999416407561848352e+00
2.615765554012630112e+00,6.857792665882778138e-01
4.666811669832427789e+00,4.639167788877637477e+00
7.144541912570962161e+00,7.498910231176376229e+00
5.692413032404208817e-01,8.137509048261931000e+00
2.033529741976721539e+00,8.915705779734256708e+00
1.700264639404858169e+00,8.748502810850352418e+00
6.612657248774875818e+00,4.722487035537181743e-01
7.070628831308541251e+00,9.481458653718327412e+00
3.335799811845103768e+00,7.185672968324736232e+00
7.367720866957761849e+00,8.514348359731110705e+00
1.334780430473315738e+00,9.052611024275922347e+00
7.241844403360476967e+00,3.998184412569665280e+00
6.888529321837753905e+00,8.780400204586522150e+00
6.036383062451900372e+00,3.707700263104516392e+00
1.759121200647280059e+00,7.026442896665749061e+00
8.838243976319970496e-01,6.437881372839017402e+00
6.487555093924117777e+00,4.382911282961182486e+00
8.779285631105560483e+00,7.691889401363606105e+00
6.750796125255228652e+00,7.470221308826707762e+00
3.552529259928266292e+00,9.463392777536769884e+00
5.945546878045995243e+00,9.724868536897847804e+00
9.818397368010408854e+00,8.987768922425111384e+00
3.824165466121196566e+00,9.196667390856003266e+00
1.765283815531134559e+00,6.732799685409890600e+00
2.644858923495054803e+00,3.104511990151413769e+00
3.537659346028959817e+00,6.158980382979839518e-01
7.683783690636643016e+00,8.771669484237060388e+00
6.310923735225324904e+00,4.587299237812434427e+00
7.705130347286179848e+00,9.698305758251319020e+00
1.699432887013530014e-01,6.868922588087426284e+00
8.542176386183573555e+00,8.727191950000340981e+00
8.459865097039623194e+00,8.882133430865334134e+00
7.772590123518675398e+00,1.893891143480235240e+00
1.537801152366721213e+00,2.534063510367496885e+00
1.658412082661926412e+00,1.176840060043836678e+00
6.193298109207706403e+00,3.282501392003994489e+00
7.538411464002741980e+00,8.661167779111744736e+00
6.278827408050129399e+00,3.521859504048492351e+00
9.606299073582187376e+00,6.346428669276798828e+00
9.844297343294352132e+00,2.460535371964983398e+00
3.745499005597838771e+00,8.233668030374778013e+00
2.014655691160081030e+00,5.797853386980653667e+00
9.200867022985365296e+00,3.264251686147856546e-02
7.381648344069702716e+00,2.659537513390825225e+00
1.825289271312282580e+00,9.086697711429263080e+00
7.897022302573247998e+00,8.938249920573479557e+00
7.378477480900627050e+00,1.081085633946737845e+00
1.225239833460201044e+00,5.848443939898388066e+00
1.246905054952321956e+00,2.010572965264687539e+00
8.500945796254924858e+00,7.027373777380212516e+00
